corretora,ativo,op,classe,tipo,qtde,data,preco,valor,posicao,custo_atual,custo_medio,total,taxas,txcorr,txbolsa,txaluguel,prov,jcp,divid,rentabilidade,lucro,irrf,ir,extrato,saldo_rico,saldo_clear
rico,CASH3,V,swing,ação,2000,2021-12-03,3.23,6460.00,-9500,-31375.40,-3.30,6458.02,1.98,0.00,1.98,,,,,,,0.32,0.00,6458.02,107966.37,123.85
rico,CASH3,V,swing,ação,2000,2021-12-03,3.16,6320.00,-11500,-37693.46,-3.28,6318.07,1.93,0.00,1.93,,,,,,,0.32,0.00,6318.07,114284.43,123.85
rico,CASH3,V,swing,ação,2500,2021-12-03,3.38,8450.00,-14000,-46140.88,-3.30,8447.41,2.59,0.00,2.59,,,,,,,0.42,0.00,8447.41,122731.85,123.85
rico,CASH3,V,swing,ação,2500,2021-12-03,3.24,8100.00,-16500,-54238.40,-3.29,8097.52,2.48,0.00,2.48,,,,,,,0.41,0.00,8097.52,130829.37,123.85
rico,CASH3,V,swing,ação,3300,2021-12-03,3.09,10197.00,-19800,-64432.28,-3.25,10193.88,3.12,0.00,3.12,,,,,,,0.51,0.00,10193.88,141023.25,123.85
rico,CASH3,V,swing,ação,2000,2021-12-03,3.07,6140.00,-21800,-70570.40,-3.24,6138.12,1.88,0.00,1.88,,,,,,,0.31,0.00,6138.12,147161.37,123.85
rico,CASH3,V,swing,ação,1900,2021-12-03,3.11,5909.00,-23700,-76477.59,-3.23,5907.19,1.81,0.00,1.81,,,,,,,0.30,0.00,5907.19,153068.56,123.85
rico,CASH3,V,swing,ação,2500,2021-12-03,3.22,8050.00,-26200,-84525.13,-3.23,8047.54,2.46,0.00,2.46,,,,,,,0.40,0.00,8047.54,161116.10,123.85
rico,CASH3,V,swing,ação,2500,2021-12-03,3.15,7875.00,-28700,-92397.72,-3.22,7872.59,2.41,0.00,2.41,,,,,,,0.39,0.00,7872.59,168988.69,123.85
rico,CASH3,V,swing,ação,2500,2021-12-03,3.28,8200.00,-31200,-100595.21,-3.22,8197.49,2.51,0.00,2.51,,,,,,,0.41,0.00,8197.49,177186.18,123.85
rico,CASH3,V,swing,ação,2000,2021-12-03,3.20,6400.00,-33200,-106993.25,-3.22,6398.04,1.96,0.00,1.96,,,,,,,0.32,0.00,6398.04,183584.22,123.85
rico,CSNA3,V,swing,ação,300,2021-12-03,23.79,7137.00,-1500,-33575.72,-22.38,7134.82,2.18,0.00,2.18,,,,,,,0.36,0.00,7134.82,190719.04,123.85
rico,CSNA3,V,swing,ação,200,2021-12-03,23.74,4748.00,-1700,-38322.27,-22.54,4746.55,1.45,0.00,1.45,,,,,,,0.24,0.00,4746.55,195465.58,123.85
rico,CSNA3,V,swing,ação,300,2021-12-03,23.50,7050.00,-2000,-45370.11,-22.69,7047.84,2.16,0.00,2.16,,,,,,,0.35,0.00,7047.84,202513.43,123.85
rico,MRVE3,V,swing,ação,600,2021-12-03,12.31,7386.00,-1515,-18335.03,-12.10,7383.74,2.26,0.00,2.26,,,,,,,0.37,0.00,7383.74,209897.17,123.85
rico,MRVE3,V,swing,ação,800,2021-12-03,12.30,9840.00,-2315,-28172.02,-12.17,9836.99,3.01,0.00,3.01,,,,,,,0.49,0.00,9836.99,219734.16,123.85
rico,MRVE3,V,swing,ação,700,2021-12-03,12.25,8575.00,-3015,-36744.39,-12.19,8572.38,2.62,0.00,2.62,,,,,,,0.43,0.00,8572.38,228306.53,123.85
rico,MRVE3,V,swing,ação,1000,2021-12-03,12.38,12380.00,-4015,-49120.60,-12.23,12376.21,3.79,0.00,3.79,,,,,,,0.62,0.00,12376.21,240682.74,123.85
rico,MRVE3,V,swing,ação,1500,2021-12-03,12.09,18135.00,-5515,-67250.05,-12.19,18129.45,5.55,0.00,5.55,,,,,,,0.91,0.00,18129.45,258812.19,123.85
rico,MRVE3,V,swing,ação,800,2021-12-03,12.35,9880.00,-6315,-77127.03,-12.21,9876.98,3.02,0.00,3.02,,,,,,,0.49,0.00,9876.98,268689.17,123.85
rico,MRVE3,V,swing,ação,700,2021-12-03,12.22,8554.00,-7015,-85678.41,-12.21,8551.38,2.62,0.00,2.62,,,,,,,0.43,0.00,8551.38,277240.55,123.85
rico,MRVE3,V,swing,ação,800,2021-12-03,12.36,9888.00,-7815,-95563.39,-12.23,9884.97,3.03,0.00,3.03,,,,,,,0.49,0.00,9884.97,287125.53,123.85
rico,MRVE3,V,swing,ação,800,2021-12-03,12.39,9912.00,-8615,-105472.36,-12.24,9908.97,3.03,0.00,3.03,,,,,,,0.50,0.00,9908.97,297034.50,123.85
rico,TSLA34,C,swing,bdr,80,2021-12-03,178.80,14304.00,130,23763.27,182.79,14308.38,4.38,0.00,4.38,,,,,,,,,-14308.38,282726.12,123.85
rico,TSLA34,C,swing,bdr,60,2021-12-03,178.89,10733.40,190,34499.95,181.58,10736.68,3.28,0.00,3.28,,,,,,,,,-10736.68,271989.43,123.85
rico,SANB11,D,,ação,15,2021-12-03,,,,0.00,,,0.00,,,,12.06,,,,,,,12.06,272001.49,123.85
rico,CSNA3,V,swing,ação,300,2021-12-06,24.15,7245.00,-2300,-52612.90,-22.88,7242.78,2.22,0.00,2.22,,,,,,,0.36,0.00,7242.78,279244.28,123.85
rico,CSNA3,V,swing,ação,300,2021-12-06,24.10,7230.00,-2600,-59840.68,-23.02,7227.79,2.21,0.00,2.21,,,,,,,0.36,0.00,7227.79,286472.06,123.85
rico,ELET6,V,swing,ação,300,2021-12-06,34.99,10497.00,-600,-20705.66,-34.51,10493.79,3.21,0.00,3.21,,,,,,,0.52,0.00,10493.79,296965.85,123.85
rico,CASH3,V,swing,ação,2000,2021-12-07,3.41,6820.00,-35200,-113811.16,-3.23,6817.91,2.09,0.00,2.09,,,,,,,0.34,0.00,6817.91,303783.77,123.85
rico,CASH3,V,swing,ação,1500,2021-12-07,3.33,4995.00,-36700,-118804.63,-3.24,4993.47,1.53,0.00,1.53,,,,,,,0.25,0.00,4993.47,308777.24,123.85
rico,CASH3,V,swing,ação,2000,2021-12-07,3.50,7000.00,-38700,-125802.49,-3.25,6997.86,2.14,0.00,2.14,,,,,,,0.35,0.00,6997.86,315775.10,123.85
rico,CSNA3,C,swing,ação,300,2021-12-09,24.49,7347.00,-2300,-52935.99,-23.02,7382.74,35.74,0.00,2.25,33.49,,,,,-478.04,,,-7382.74,308392.36,123.85
rico,CSNA3,C,swing,ação,200,2021-12-09,24.47,4894.00,-2100,-48332.86,-23.02,4920.47,26.47,0.00,1.50,24.97,,,,,-317.34,,,-4920.47,303471.89,123.85
rico,MRVE3,C,swing,ação,600,2021-12-09,11.71,7026.00,-8015,-98126.63,-12.24,7028.15,2.15,0.00,2.15,,,,,,317.57,,,-7028.15,296443.74,123.85
rico,MRVE3,C,swing,ação,500,2021-12-09,11.69,5845.00,-7515,-92005.19,-12.24,5915.13,70.13,0.00,1.79,68.34,,,,,206.31,,,-5915.13,290528.61,123.85
itau,HABT11,R,,fii,10,2021-12-10,,,,0.00,,,0.00,,,,15.00,,,,,,,,290528.61,123.85
rico,AZUL4,V,swing,ação,8,2021-12-10,25.88,207.04,32,1104.98,34.53,206.98,0.06,0.00,0.06,,,,,,-69.27,0.01,,206.98,290735.59,123.85
rico,AZUL4,V,swing,ação,9,2021-12-10,25.86,232.74,23,794.20,34.53,232.67,0.07,0.00,0.07,,,,,,-78.11,0.01,,232.67,290968.26,123.85
rico,AZUL4,V,swing,ação,20,2021-12-10,25.89,517.80,3,103.59,34.53,517.64,0.16,0.00,0.16,,,,,,-172.97,0.03,,517.64,291485.90,123.85
rico,AZUL4,V,swing,ação,3,2021-12-10,25.87,77.61,0,0.00,34.53,77.59,0.02,0.00,0.02,,,,,,-26.01,0.00,,77.59,291563.48,123.85
rico,BBAS3,V,swing,ação,3,2021-12-10,32.50,97.50,37,1229.61,33.23,97.47,0.03,0.00,0.03,,,,,,-2.23,0.00,,97.47,291660.95,123.85
rico,BBAS3,V,swing,ação,11,2021-12-10,32.49,357.39,26,864.05,33.23,357.28,0.11,0.00,0.11,,,,,,-8.28,0.02,,357.28,292018.23,123.85
rico,BBAS3,V,swing,ação,3,2021-12-10,32.46,97.38,23,764.35,33.23,97.35,0.03,0.00,0.03,,,,,,-2.35,0.00,,97.35,292115.59,123.85
rico,BBAS3,V,swing,ação,9,2021-12-10,32.47,292.23,14,465.26,33.23,292.14,0.09,0.00,0.09,,,,,,-6.95,0.01,,292.14,292407.73,123.85
rico,BBAS3,V,swing,ação,14,2021-12-10,32.51,455.14,0,0.00,33.23,455.00,0.14,0.00,0.14,,,,,,-10.26,0.02,,455.00,292862.73,123.85
rico,BBDC4,V,swing,ação,12,2021-12-10,20.14,241.68,38,807.06,21.24,241.61,0.07,0.00,0.07,,,,,,-13.26,0.01,,241.61,293104.33,123.85
rico,BBDC4,V,swing,ação,43,2021-12-10,20.15,866.45,-5,-106.19,21.24,866.18,0.27,0.00,0.27,,,,,,,0.04,0.00,866.18,293970.52,123.85
rico,CASH3,C,swing,ação,14900,2021-12-10,3.89,57961.00,-23800,-77366.91,-3.25,58808.46,847.46,0.00,17.74,829.72,,,,,-10372.87,,,-58808.46,235162.06,123.85
rico,CASH3,C,swing,ação,2300,2021-12-10,3.91,8993.00,-21500,-69890.27,-3.25,9122.98,129.98,0.00,2.75,127.23,,,,,-1646.35,,,-9122.98,226039.08,123.85
rico,CASH3,C,swing,ação,1300,2021-12-10,3.90,5070.00,-20200,-65664.35,-3.25,5071.55,1.55,0.00,1.55,,,,,,-845.63,,,-5071.55,220967.53,123.85
rico,CASH3,C,swing,ação,1000,2021-12-10,3.85,3850.00,-19200,-62413.64,-3.25,3851.18,1.18,0.00,1.18,,,,,,-600.47,,,-3851.18,217116.35,123.85
rico,CASH3,C,swing,ação,3300,2021-12-10,3.92,12936.00,-15900,-51686.30,-3.25,12939.96,3.96,0.00,3.96,,,,,,-2212.61,,,-12939.96,204176.39,123.85
rico,COGN3,V,swing,ação,5700,2021-12-10,2.73,15561.00,0,0.00,2.41,15556.24,4.76,0.00,4.76,,,,,,1819.04,0.78,272.86,15556.24,219732.63,123.85
rico,CSNA3,C,swing,ação,1400,2021-12-10,24.35,34090.00,-700,-16110.95,-23.02,34275.79,185.79,0.00,10.43,175.36,,,,,-2053.89,,,-34275.79,185456.84,123.85
rico,CSNA3,C,swing,ação,400,2021-12-10,24.34,9736.00,-300,-6904.69,-23.02,9793.01,57.01,0.00,2.98,54.03,,,,,-586.75,,,-9793.01,175663.83,123.85
rico,CSNA3,C,swing,ação,300,2021-12-10,24.33,7299.00,0,0.00,-23.02,7324.46,25.46,0.00,2.23,23.23,,,,,-419.77,,,-7324.46,168339.37,123.85
rico,CVCB3,V,swing,ação,14,2021-12-10,16.06,224.84,85,1710.31,20.12,224.77,0.07,0.00,0.07,,,,,,-56.93,0.01,,224.77,168564.14,123.85
rico,CVCB3,V,swing,ação,42,2021-12-10,16.08,675.36,43,865.22,20.12,675.15,0.21,0.00,0.21,,,,,,-169.94,0.03,,675.15,169239.29,123.85
rico,CVCB3,V,swing,ação,7,2021-12-10,16.07,112.49,36,724.37,20.12,112.46,0.03,0.00,0.03,,,,,,-28.39,0.01,,112.46,169351.75,123.85
rico,CVCB3,V,swing,ação,12,2021-12-10,16.10,193.20,24,482.91,20.12,193.14,0.06,0.00,0.06,,,,,,-48.32,0.01,,193.14,169544.89,123.85
rico,CVCB3,V,swing,ação,24,2021-12-10,16.09,386.16,0,0.00,20.12,386.04,0.12,0.00,0.12,,,,,,-96.87,0.02,,386.04,169930.93,123.85
rico,EGIE3,V,swing,ação,2,2021-12-10,39.23,78.46,23,1004.26,43.66,78.44,0.02,0.00,0.02,,,,,,-8.89,0.00,,78.44,170009.36,123.85
rico,EGIE3,V,swing,ação,15,2021-12-10,39.24,588.60,8,349.31,43.66,588.42,0.18,0.00,0.18,,,,,,-66.53,0.03,,588.42,170597.78,123.85
rico,EGIE3,V,swing,ação,6,2021-12-10,39.25,235.50,2,87.33,43.66,235.43,0.07,0.00,0.07,,,,,,-26.55,0.01,,235.43,170833.21,123.85
rico,EGIE3,V,swing,ação,2,2021-12-10,39.26,78.52,0,0.00,43.66,78.50,0.02,0.00,0.02,,,,,,-8.83,0.00,,78.50,170911.71,123.85
rico,ELET6,C,swing,ação,200,2021-12-10,34.67,6934.00,-400,-13803.77,-34.51,6987.20,53.20,0.00,2.12,51.08,,,,,-85.31,,,-6987.20,163924.51,123.85
rico,ELET6,C,swing,ação,200,2021-12-10,34.68,6936.00,-200,-6901.89,-34.51,6991.45,55.45,0.00,2.12,53.33,,,,,-89.57,,,-6991.45,156933.05,123.85
rico,ELET6,C,swing,ação,100,2021-12-10,34.66,3466.00,-100,-3450.94,-34.51,3467.06,1.06,0.00,1.06,,,,,,-16.12,,,-3467.06,153465.99,123.85
rico,ELET6,C,swing,ação,100,2021-12-10,34.65,3465.00,0,0.00,-34.51,3466.06,1.06,0.00,1.06,,,,,,-15.12,,,-3466.06,149999.93,123.85
rico,ENGI11,C,swing,ação,100,2021-12-10,46.31,4631.00,-600,-27801.49,-46.34,4680.99,49.99,0.00,1.42,48.57,,,,,-47.41,,,-4680.99,145318.95,123.85
rico,ENGI11,C,swing,ação,300,2021-12-10,46.36,13908.00,-300,-13900.75,-46.34,13985.44,77.44,0.00,4.26,73.18,,,,,-84.69,,,-13985.44,131333.51,123.85
rico,ENGI11,C,swing,ação,100,2021-12-10,46.32,4632.00,-200,-9267.16,-46.34,4682.58,50.58,0.00,1.42,49.16,,,,,-49.00,,,-4682.58,126650.93,123.85
rico,ENGI11,C,swing,ação,100,2021-12-10,46.28,4628.00,-100,-4633.58,-46.34,4629.42,1.42,0.00,1.42,,,,,,4.17,,,-4629.42,122021.52,123.85
rico,ENGI11,C,swing,ação,100,2021-12-10,46.29,4629.00,0,0.00,-46.34,4630.42,1.42,0.00,1.42,,,,,,3.17,,,-4630.42,117391.10,123.85
rico,FBOK34,V,swing,bdr,10,2021-12-10,65.90,659.00,10,651.50,65.15,658.80,0.20,0.00,0.20,,,,,,7.30,0.03,1.09,658.77,118049.87,123.85
rico,FBOK34,V,swing,bdr,2,2021-12-10,65.88,131.76,8,521.20,65.15,131.72,0.04,0.00,0.04,,,,,,1.42,0.01,0.21,131.71,118181.58,123.85
rico,FBOK34,V,swing,bdr,4,2021-12-10,65.87,263.48,4,260.60,65.15,263.40,0.08,0.00,0.08,,,,,,2.80,0.01,0.42,263.39,118444.96,123.85
rico,FBOK34,V,swing,bdr,2,2021-12-10,65.89,131.78,2,130.30,65.15,131.74,0.04,0.00,0.04,,,,,,1.44,0.01,0.22,131.73,118576.70,123.85
rico,FBOK34,V,swing,bdr,2,2021-12-10,65.91,131.82,0,0.00,65.15,131.78,0.04,0.00,0.04,,,,,,1.48,0.01,0.22,131.77,118708.47,123.85
rico,GETT11,V,swing,ação,3,2021-12-10,3.86,11.58,0,0.00,0.00,11.58,0.00,0.00,0.00,,,,,,11.58,0.00,1.74,11.58,118720.05,123.85
rico,GGBR4,V,swing,ação,20,2021-12-10,29.47,589.40,30,581.94,19.40,589.22,0.18,0.00,0.18,,,,,,201.26,0.03,30.19,589.22,119309.27,123.85
rico,GGBR4,V,swing,ação,4,2021-12-10,29.45,117.80,26,504.35,19.40,117.76,0.04,0.00,0.04,,,,,,40.17,0.01,6.03,117.76,119427.03,123.85
rico,GGBR4,V,swing,ação,15,2021-12-10,29.46,441.90,11,213.38,19.40,441.76,0.14,0.00,0.14,,,,,,150.80,0.02,22.62,441.76,119868.80,123.85
rico,GGBR4,V,swing,ação,11,2021-12-10,29.44,323.84,0,0.00,19.40,323.74,0.10,0.00,0.10,,,,,,110.36,0.02,16.55,323.74,120192.54,123.85
rico,GOGL34,V,swing,bdr,2,2021-12-10,110.59,221.18,38,4068.57,107.07,221.11,0.07,0.00,0.07,,,,,,6.98,0.01,1.05,221.10,120413.64,123.85
rico,GOGL34,V,swing,bdr,6,2021-12-10,110.56,663.36,32,3426.17,107.07,663.16,0.20,0.00,0.20,,,,,,20.75,0.03,3.11,663.12,121076.76,123.85
rico,GOGL34,V,swing,bdr,5,2021-12-10,110.63,553.15,27,2890.83,107.07,552.98,0.17,0.00,0.17,,,,,,17.64,0.03,2.65,552.95,121629.71,123.85
rico,GOGL34,V,swing,bdr,1,2021-12-10,110.60,110.60,26,2783.76,107.07,110.57,0.03,0.00,0.03,,,,,,3.50,0.01,0.52,110.56,121740.28,123.85
rico,GOGL34,V,swing,bdr,6,2021-12-10,110.58,663.48,20,2141.36,107.07,663.28,0.20,0.00,0.20,,,,,,20.87,0.03,3.13,663.24,122403.52,123.85
rico,GOGL34,V,swing,bdr,20,2021-12-10,110.57,2211.40,0,0.00,107.07,2210.72,0.68,0.00,0.68,,,,,,69.37,0.11,10.41,2210.61,124614.13,123.85
rico,IRBR3,V,swing,ação,100,2021-12-10,4.36,436.00,0,0.00,6.09,435.87,0.13,0.00,0.13,,,,,,-173.32,0.02,,435.87,125050.00,123.85
rico,ITSA4,V,swing,ação,80,2021-12-10,9.67,773.60,19,203.39,10.70,773.36,0.24,0.00,0.24,,,,,,-83.00,0.04,,773.36,125823.36,123.85
rico,ITSA4,V,swing,ação,12,2021-12-10,9.69,116.28,7,74.93,10.70,116.24,0.04,0.00,0.04,,,,,,-12.21,0.01,,116.24,125939.61,123.85
rico,ITSA4,V,swing,ação,7,2021-12-10,9.68,67.76,0,0.00,10.70,67.74,0.02,0.00,0.02,,,,,,-7.19,0.00,,67.74,126007.35,123.85
rico,ITUB4,V,swing,ação,5,2021-12-10,22.04,110.20,15,472.34,31.49,110.17,0.03,0.00,0.03,,,,,,-47.28,0.01,,110.17,126117.51,123.85
rico,ITUB4,V,swing,ação,9,2021-12-10,22.03,198.27,6,188.94,31.49,198.21,0.06,0.00,0.06,,,,,,-85.20,0.01,,198.21,126315.72,123.85
rico,ITUB4,V,swing,ação,6,2021-12-10,22.02,132.12,0,0.00,31.49,132.08,0.04,0.00,0.04,,,,,,-56.86,0.01,,132.08,126447.80,123.85
rico,MELI34,V,swing,bdr,4,2021-12-10,53.20,212.80,46,2729.09,59.33,212.73,0.07,0.00,0.07,,,,,,-24.58,0.01,,212.72,126660.52,123.85
rico,MELI34,V,swing,bdr,10,2021-12-10,53.21,532.10,36,2135.81,59.33,531.94,0.16,0.00,0.16,,,,,,-61.34,0.03,,531.91,127192.44,123.85
rico,MELI34,V,swing,bdr,4,2021-12-10,53.19,212.76,32,1898.50,59.33,212.69,0.07,0.00,0.07,,,,,,-24.62,0.01,,212.68,127405.12,123.85
rico,MELI34,V,swing,bdr,4,2021-12-10,53.18,212.72,28,1661.19,59.33,212.65,0.07,0.00,0.07,,,,,,-24.66,0.01,,212.64,127617.76,123.85
rico,MELI34,V,swing,bdr,10,2021-12-10,53.24,532.40,18,1067.91,59.33,532.24,0.16,0.00,0.16,,,,,,-61.04,0.03,,532.21,128149.97,123.85
rico,MELI34,V,swing,bdr,18,2021-12-10,53.22,957.96,0,0.00,59.33,957.67,0.29,0.00,0.29,,,,,,-110.24,0.05,,957.62,129107.59,123.85
rico,MGLU3,V,swing,ação,200,2021-12-10,6.34,1268.00,200,2014.62,10.07,1267.61,0.39,0.00,0.39,,,,,,-747.00,0.06,,1267.61,130375.21,123.85
rico,MGLU3,V,swing,ação,100,2021-12-10,6.33,633.00,100,1007.31,10.07,632.81,0.19,0.00,0.19,,,,,,-374.50,0.03,,632.81,131008.01,123.85
rico,MGLU3,V,swing,ação,100,2021-12-10,6.35,635.00,0,0.00,10.07,634.81,0.19,0.00,0.19,,,,,,-372.50,0.03,,634.81,131642.82,123.85
rico,MRVE3,C,swing,ação,4500,2021-12-10,12.31,55395.00,-3015,-36912.26,-12.24,55824.66,429.66,0.00,16.95,412.71,,,,,-731.73,,,-55824.66,75818.16,123.85
rico,MRVE3,C,swing,ação,500,2021-12-10,12.30,6150.00,-2515,-30790.83,-12.24,6185.28,35.28,0.00,1.88,33.40,,,,,-63.85,,,-6185.28,69632.87,123.85
rico,MRVE3,C,swing,ação,2500,2021-12-10,12.32,30800.00,-15,-183.64,-12.24,30835.09,35.09,0.00,9.42,25.67,,,,,-227.91,,,-30835.09,38797.78,123.85
rico,NTCO3,V,swing,ação,100,2021-12-10,26.15,2615.00,0,0.00,30.60,2614.20,0.80,0.00,0.80,,,,,,-445.74,0.13,,2614.20,41411.98,123.85
rico,PETR4,V,swing,ação,100,2021-12-10,29.64,2964.00,10,211.43,21.14,2963.09,0.91,0.00,0.91,,,,,,848.78,0.15,127.32,2963.09,44375.07,123.85
rico,PETR4,V,swing,ação,3,2021-12-10,29.62,88.86,7,148.00,21.14,88.83,0.03,0.00,0.03,,,,,,25.40,0.00,3.81,88.83,44463.91,123.85
rico,PETR4,V,swing,ação,7,2021-12-10,29.63,207.41,0,0.00,21.14,207.35,0.06,0.00,0.06,,,,,,59.34,0.01,8.90,207.35,44671.25,123.85
rico,PRIO3,V,swing,ação,100,2021-12-10,20.66,2066.00,260,5248.12,20.19,2065.37,0.63,0.00,0.63,,,,,,46.86,0.10,7.03,2065.37,46736.62,123.85
rico,PRIO3,V,swing,ação,200,2021-12-10,20.67,4134.00,60,1211.10,20.19,4132.73,1.27,0.00,1.27,,,,,,95.72,0.21,14.36,4132.73,50869.35,123.85
rico,PRIO3,V,swing,ação,28,2021-12-10,20.65,578.20,32,645.92,20.19,578.02,0.18,0.00,0.18,,,,,,12.84,0.03,1.93,578.02,51447.38,123.85
rico,PRIO3,V,swing,ação,8,2021-12-10,20.67,165.36,24,484.44,20.19,165.31,0.05,0.00,0.05,,,,,,3.83,0.01,0.57,165.31,51612.69,123.85
rico,PRIO3,V,swing,ação,16,2021-12-10,20.68,330.88,8,161.48,20.19,330.78,0.10,0.00,0.10,,,,,,7.82,0.02,1.17,330.78,51943.47,123.85
rico,PRIO3,V,swing,ação,8,2021-12-10,20.66,165.28,0,0.00,20.19,165.23,0.05,0.00,0.05,,,,,,3.75,0.01,0.56,165.23,52108.70,123.85
rico,SANB11,V,swing,ação,3,2021-12-10,31.97,95.91,12,531.64,44.30,95.88,0.03,0.00,0.03,,,,,,-37.03,0.00,,95.88,52204.58,123.85
rico,SANB11,V,swing,ação,2,2021-12-10,31.99,63.98,10,443.04,44.30,63.96,0.02,0.00,0.02,,,,,,-24.65,0.00,,63.96,52268.54,123.85
rico,SANB11,V,swing,ação,2,2021-12-10,31.96,63.92,8,354.43,44.30,63.90,0.02,0.00,0.02,,,,,,-24.71,0.00,,63.90,52332.44,123.85
rico,SANB11,V,swing,ação,8,2021-12-10,31.98,255.84,0,0.00,44.30,255.76,0.08,0.00,0.08,,,,,,-98.67,0.01,,255.76,52588.20,123.85
rico,TSLA34,V,swing,bdr,12,2021-12-10,178.19,2138.28,178,32321.01,181.58,2137.63,0.65,0.00,0.65,,,,,,-41.32,0.11,,2137.52,54725.72,123.85
rico,TSLA34,V,swing,bdr,24,2021-12-10,178.34,4280.16,154,27963.12,181.58,4278.85,1.31,0.00,1.31,,,,,,-79.04,0.21,,4278.64,59004.35,123.85
rico,TSLA34,V,swing,bdr,12,2021-12-10,178.27,2139.24,142,25784.18,181.58,2138.59,0.65,0.00,0.65,,,,,,-40.36,0.11,,2138.48,61142.83,123.85
rico,TSLA34,V,swing,bdr,24,2021-12-10,178.36,4280.64,118,21426.29,181.58,4279.33,1.31,0.00,1.31,,,,,,-78.56,0.21,,4279.12,65421.95,123.85
rico,TSLA34,V,swing,bdr,12,2021-12-10,178.13,2137.56,106,19247.34,181.58,2136.91,0.65,0.00,0.65,,,,,,-42.04,0.11,,2136.80,67558.75,123.85
rico,TSLA34,V,swing,bdr,36,2021-12-10,178.33,6419.88,70,12710.51,181.58,6417.92,1.96,0.00,1.96,,,,,,-118.92,0.32,,6417.59,73976.34,123.85
rico,TSLA34,V,swing,bdr,1,2021-12-10,178.44,178.44,69,12528.93,181.58,178.39,0.05,0.00,0.05,,,,,,-3.19,0.01,,178.38,74154.72,123.85
rico,TSLA34,V,swing,bdr,24,2021-12-10,178.28,4278.72,45,8171.04,181.58,4277.41,1.31,0.00,1.31,,,,,,-80.48,0.21,,4277.20,78431.92,123.85
rico,TSLA34,V,swing,bdr,12,2021-12-10,178.37,2140.44,33,5992.10,181.58,2139.79,0.65,0.00,0.65,,,,,,-39.16,0.11,,2139.68,80571.59,123.85
rico,TSLA34,V,swing,bdr,21,2021-12-10,178.29,3744.09,12,2178.94,181.58,3742.94,1.15,0.00,1.15,,,,,,-70.21,0.19,,3742.76,84314.35,123.85
rico,TSLA34,V,swing,bdr,12,2021-12-10,178.32,2139.84,0,0.00,181.58,2139.19,0.65,0.00,0.65,,,,,,-39.76,0.11,,2139.08,86453.43,123.85
rico,USIM5,V,swing,ação,400,2021-12-10,15.16,6064.00,100,1539.47,15.39,6062.14,1.86,0.00,1.86,,,,,,-95.74,0.30,,6062.14,92515.57,123.85
rico,USIM5,V,swing,ação,100,2021-12-10,15.15,1515.00,0,0.00,15.39,1514.54,0.46,0.00,0.46,,,,,,-24.93,0.08,,1514.54,94030.11,123.85
rico,VALE3,V,swing,ação,10,2021-12-10,75.58,755.80,62,4491.73,72.45,755.57,0.23,0.00,0.23,,,,,,31.10,0.04,4.66,755.57,94785.68,123.85
rico,VALE3,V,swing,ação,19,2021-12-10,75.60,1436.40,43,3115.23,72.45,1435.96,0.44,0.00,0.44,,,,,,59.46,0.07,8.92,1435.96,96221.64,123.85
rico,VALE3,V,swing,ação,10,2021-12-10,75.59,755.90,33,2390.76,72.45,755.67,0.23,0.00,0.23,,,,,,31.20,0.04,4.68,755.67,96977.31,123.85
rico,VALE3,V,swing,ação,33,2021-12-10,75.61,2495.13,0,0.00,72.45,2494.37,0.76,0.00,0.76,,,,,,103.61,0.12,15.54,2494.37,99471.67,123.85
rico,VIIA3,V,swing,ação,400,2021-12-10,5.43,2172.00,100,582.18,5.82,2171.34,0.66,0.00,0.66,,,,,,-157.38,0.11,,2171.34,101643.01,123.85
rico,VIIA3,V,swing,ação,100,2021-12-10,5.44,544.00,0,0.00,5.82,543.83,0.17,0.00,0.17,,,,,,-38.34,0.03,,543.83,102186.84,123.85
rico,WEGE3,V,swing,ação,8,2021-12-10,35.87,286.96,12,460.13,38.34,286.87,0.09,0.00,0.09,,,,,,-19.88,0.01,,286.87,102473.71,123.85
rico,WEGE3,V,swing,ação,6,2021-12-10,35.88,215.28,6,230.07,38.34,215.21,0.07,0.00,0.07,,,,,,-14.85,0.01,,215.21,102688.93,123.85
rico,WEGE3,V,swing,ação,6,2021-12-10,35.89,215.34,0,0.00,38.34,215.27,0.07,0.00,0.07,,,,,,-14.79,0.01,,215.27,102904.20,123.85
rico,CASH3,C,swing,ação,2000,2021-12-13,3.64,7280.00,-13900,-45184.87,-3.25,7356.61,76.61,0.00,2.23,74.38,,,,,-855.19,,,-7356.61,95547.60,123.85
rico,CASH3,C,swing,ação,1500,2021-12-13,3.65,5475.00,-12400,-40308.81,-3.25,5795.50,320.50,0.00,1.68,318.82,,,,,-919.43,,,-5795.50,89752.10,123.85
itau,XPCI11,R,,fii,20,2021-12-14,,,,0.00,,,0.00,,,,18.40,,,,,,,,89752.10,123.85
rico,PETR4,D,,ação,110,2021-12-15,,,,0.00,,,0.00,,,,241.46,,,,,,,241.46,89993.56,123.85
rico,PETR4,J,,ação,110,2021-12-15,,,,0.00,,,0.00,,,,98.67,,,,,,,98.67,90092.23,123.85
itau,IRDM11,R,,fii,10,2021-12-16,,,,0.00,,,0.00,,,,11.27,,,,,,,,90092.23,123.85
rico,CASH3,C,swing,ação,8400,2021-12-16,3.15,26460.00,-4000,-13002.84,-3.25,26468.10,8.10,0.00,8.10,,,,,,837.87,,,-26468.10,63624.13,123.85
